,lval,op,rval,Estimate,Std. Err,z-value,p-value
39,Depr_1,~,Response_to_Stress,1.2650871501558825,0.05152937243493513,24.550796766033315,0.0
40,Depr_2,~,Response_to_Stress,1.3769868615010912,0.056019812118346037,24.580354867444456,0.0
41,Depr_3,~,Response_to_Stress,0.9312082320339204,0.05577952694539715,16.69444477234076,0.0
42,Depr_4,~,Response_to_Stress,-0.9614809299144914,0.045388133296185504,-21.183531026029492,0.0
43,Depr_5,~,Response_to_Stress,0.9489263794109194,0.04962004466428811,19.123851778286376,0.0
44,Depr_6,~,Response_to_Stress,-0.9731382920212829,0.046545610479454436,-20.907197950060745,0.0
45,Depr_7,~,Response_to_Stress,0.9760525103779811,0.04558802495425574,21.41028288319067,0.0
46,Depr_8,~,Response_to_Stress,1.1094770299126324,0.05263043972620454,21.08051986005252,0.0
47,Mot_Stress_2,~,Response_to_Stress,0.7418994206451616,0.04033651999263237,18.39274733572157,0.0
48,Partici1_1,~,Participation,1.0,-,-,-
49,Partici1_2,~,Participation,1.1924989886570752,0.05989045467763951,19.911336373313443,0.0
50,Partici1_3,~,Participation,1.0642074571799682,0.054662036814846784,19.46885844677214,0.0
51,Partici1_4,~,Participation,0.8738586730486337,0.0514696389216929,16.978138788989067,0.0
52,Cogn_Eng1_1,~,Behavior,1.0,-,-,-
53,Cogn_Eng1_2,~,Behavior,1.1718120527425744,0.12751058759092,9.18991963626422,0.0
54,Cogn_Eng1_4,~,Behavior,1.0535618923327685,0.11447342613734414,9.203549923101901,0.0
55,Cogn_Eng2_1,~,Behavior,1.670871622927004,0.15492699594222936,10.784896542751461,0.0
56,Cogn_Eng2_4,~,Behavior,1.7627279720518672,0.17038351433575413,10.34564863222581,0.0
57,Cogn_Eng2_5,~,Behavior,2.1372795881543625,0.19420355975723305,11.0053574240096,0.0
58,Cogn_Eng2_6,~,Behavior,1.2940384016741986,0.13118542020696414,9.864193746704474,0.0
59,Cogn_Eng2_7,~,Behavior,2.2035336743320193,0.19703458595757303,11.183486714334087,0.0
60,Response_to_Stress,~~,Wellbeing,-0.13183607883479043,0.01097477017120665,-12.012650539932237,0.0
61,Response_to_Stress,~~,Response_to_Stress,0.31759167408539063,0.023676661988102234,13.413701400626914,0.0
62,Stressors,~~,Participation,0.09778283643531287,0.01515028506304674,6.454191193231214,1.0879830369958654e-10
63,Stressors,~~,Stressors,0.4306309586751917,0.03962471551947788,10.867736285769508,0.0
64,Stressors,~~,Behavior,-0.02754304025260926,0.006607779337402976,-4.168274823061221,3.069137538802558e-05
65,Stressors,~~,Interventions,0.006678645913768699,0.010983991366506667,0.6080345195395698,0.5431645795103637
66,Behavior,~~,Behavior,0.08188827607277155,0.013505855371607176,6.0631684416567095,1.334657495632996e-09
67,Interventions,~~,Interventions,0.2755681011734257,0.03645919792421029,7.558260105960251,4.085620730620576e-14
68,Interventions,~~,Behavior,0.0013763750277772323,0.005178013875039134,0.265811382651233,0.7903844764079127
69,Negative_Outcomes,~~,Negative_Outcomes,0.02782126004822945,0.007316110470795507,3.8027391952983454,0.0001431049857627542
70,Participation,~~,Participation,0.3445731678591171,0.031022056778016862,11.107360492363757,0.0
71,Positive_Outcomes,~~,Positive_Outcomes,3.0566972828414455e-17,0.00473596924360489,6.454216919426929e-15,0.9999999999999949
72,Wellbeing,~~,Wellbeing,0.24553242888039054,0.018382630957560736,13.356762121476786,0.0
73,Bekendgebruik_4,~~,Bekendgebruik_4,1.237180241494676,0.04849252417812847,25.512803518427017,0.0
74,Bekendgebruik_5,~~,Bekendgebruik_5,0.3559015202372467,0.020595012482424763,17.280956761919064,0.0
75,Bekendgebruik_6,~~,Bekendgebruik_6,1.0744630129731965,0.045187077409710674,23.778103708882863,0.0
76,Bekendgebruik_7,~~,Bekendgebruik_7,0.26182269979211703,0.02082870261385924,12.570283643366832,0.0
77,Bevl_1,~~,Bevl_1,0.4204613099027067,0.01652484609993008,25.444189152178645,0.0
78,Bevl_2,~~,Bevl_2,0.24338391852333952,0.010715910876909835,22.71238733657816,0.0
79,Bevl_3,~~,Bevl_3,0.42515522435493536,0.016935338072027132,25.104619850021123,0.0
80,Burn1_1,~~,Burn1_1,0.5272961760660533,0.020996059412758342,25.11405429347021,0.0
81,Burn1_2,~~,Burn1_2,0.7115157415193216,0.027922921835116358,25.48142152512942,0.0
82,Burn1_3,~~,Burn1_3,0.8709118781826746,0.03313699193725414,26.28216465168261,0.0
83,Burn1_4,~~,Burn1_4,0.7754271071219129,0.029821750427553625,26.002065471631727,0.0
84,Cijfer_huidig_1,~~,Cijfer_huidig_1,0.2361749051305678,0.009808139186464502,24.079481399735442,0.0
85,Cogn_Eng1_1,~~,Cogn_Eng1_1,0.5979145296047357,0.02273531448167222,26.298933760535306,0.0
86,Cogn_Eng1_2,~~,Cogn_Eng1_2,0.6702421267377229,0.02575039732583396,26.02841883295049,0.0
87,Cogn_Eng1_4,~~,Cogn_Eng1_4,0.538125156677361,0.0206825158329175,26.018360677132097,0.0
88,Cogn_Eng1_5,~~,Cogn_Eng1_5,0.4339125224759206,0.01765411993491289,24.578541669088484,0.0
89,Cogn_Eng1_6,~~,Cogn_Eng1_6,0.5755155791317477,0.022046885595015154,26.10416680511867,0.0
90,Cogn_Eng2_1,~~,Cogn_Eng2_1,0.5018527209218181,0.021374307457777336,23.479250585764962,0.0
91,Cogn_Eng2_2,~~,Cogn_Eng2_2,0.8936848549561727,0.033188886712886924,26.927232078026776,0.0
92,Cogn_Eng2_3,~~,Cogn_Eng2_3,0.8229983752900187,0.03041216579048218,27.06148522709039,0.0
93,Cogn_Eng2_4,~~,Cogn_Eng2_4,0.7815050736672958,0.03172328533958741,24.6350611318123,0.0
94,Cogn_Eng2_5,~~,Cogn_Eng2_5,0.6677165617129042,0.029615720000187286,22.546018185144092,0.0
95,Cogn_Eng2_6,~~,Cogn_Eng2_6,0.5698895881429676,0.02244825881220243,25.386805849182394,0.0
96,Cogn_Eng2_7,~~,Cogn_Eng2_7,0.5805716277803784,0.027078544867752286,21.440281617581977,0.0
97,Cogn_Eng2_8,~~,Cogn_Eng2_8,0.6712682921294942,0.025055560763517414,26.79119012495282,0.0
98,Depr_1,~~,Depr_1,0.5376456354834616,0.022636402351729853,23.751372992299892,0.0
99,Depr_2,~~,Depr_2,0.6328649935192106,0.026672710679474135,23.727059506647816,0.0
100,Depr_3,~~,Depr_3,1.1884419519934482,0.04470932478091715,26.5815231563085,0.0
101,Depr_4,~~,Depr_4,0.5938378150474414,0.02324944824816946,25.542017543089656,0.0
102,Depr_5,~~,Depr_5,0.8225565178404499,0.03148764541829339,26.123151060906125,0.0
103,Depr_6,~~,Depr_6,0.6384430186349369,0.024905655797348304,25.634459249102658,0.0
104,Depr_7,~~,Depr_7,0.5879759833160135,0.023092277142819133,25.46201830395886,0.0
105,Depr_8,~~,Depr_8,0.805135937371694,0.03147877520682208,25.57710495583792,0.0
106,Mot_Stress_1,~~,Mot_Stress_1,0.3161790147671613,0.013299088766812102,23.774487131209476,0.0
107,Mot_Stress_2,~~,Mot_Stress_2,0.5681405348819893,0.02161764917226121,26.28132829469359,0.0
108,Mot_Stress_4,~~,Mot_Stress_4,0.20335422640616008,0.009676722370386179,21.014783580799357,0.0
109,Onnodige_stress_1,~~,Onnodige_stress_1,0.9800474699809925,0.03845532222190537,25.485353218474426,0.0
110,Onnodige_stress_2,~~,Onnodige_stress_2,0.7533037270350497,0.03142422989621984,23.972066443597903,0.0
111,Onnodige_stress_3,~~,Onnodige_stress_3,0.8294646286947763,0.03361537796903319,24.67515401535012,0.0
112,Onnodige_stress_4,~~,Onnodige_stress_4,0.5721165502177837,0.027743860421438504,20.621375017986715,0.0
113,Onnodige_stress_5,~~,Onnodige_stress_5,0.5486874375559918,0.026611216936439704,20.61865260975854,0.0
114,Onnodige_stress_6,~~,Onnodige_stress_6,0.7449847239518911,0.031201068336668535,23.8768979282829,0.0
115,Onnodige_stress_7,~~,Onnodige_stress_7,1.4614170402789575,0.05532047776930366,26.417288844592267,0.0
116,Partici1_1,~~,Partici1_1,0.7239751445035321,0.03398157278478538,21.304933384554044,0.0
117,Partici1_2,~~,Partici1_2,0.8681572313016928,0.04309829684774905,20.14365519705894,0.0
118,Partici1_3,~~,Partici1_3,0.7943207147589113,0.03764213175979311,21.101905699885236,0.0
119,Partici1_4,~~,Partici1_4,0.9686212227442768,0.04035233590626216,24.004092971726955,0.0
120,StopInt,~~,StopInt,0.11451150582840416,0.008383855493073177,13.65857342237782,0.0
121,Stopint2,~~,Stopint2,0.5967076913255798,0.029464576587124827,20.25169747615081,0.0
122,Vertr,~~,Vertr,1.0409260775664748,0.04186091830811465,24.86629819919233,0.0
