StudentID;Jaar;Bevl_1;Bevl_2;Bevl_3;Burn1_1;Burn1_2;Burn1_3;Burn1_4;Mot_Stress_1;Mot_Stress_2;Mot_Stress_4;Onnodige_stress_1;Onnodige_stress_2;Onnodige_stress_3;Onnodige_stress_4;Onnodige_stress_5;Onnodige_stress_6;Onnodige_stress_7;Onnodige_stress_8;Onnodige_stress_9;Onnodige_stress_10;Leefst;Cantrill_1;Q297_1;Depr_1;Depr_2;Depr_3;Depr_4;Depr_5;Depr_6;Depr_7;Depr_8;Studiejaar;StPunt_beh;Cijfer_huidig_1;Vertr;StopInt;Hulp_1;Hulp_2;Hulp_3;Bekendgebruik_1;Bekendgebruik_2;Bekendgebruik_3;Bekendgebruik_4;Bekendgebruik_5;Bekendgebruik_6;Bekendgebruik_7;Cogn_Eng1_1;Cogn_Eng1_2;Cogn_Eng1_3;Cogn_Eng1_4;Cogn_Eng1_5;Cogn_Eng1_6;Cogn_Eng2_1;Cogn_Eng2_2;Cogn_Eng2_3;Cogn_Eng2_4;Cogn_Eng2_5;Cogn_Eng2_6;Cogn_Eng2_7;Cogn_Eng2_8;Partici1_1;Partici1_2;Partici1_3;Partici1_4;Geslacht;Leeftijd;Vooropleid;Locatie;Domein;Opleidingsvorm;Stopint2;Betrok_Ouders;Werk_1;Uitwissel
24;2025;3;4;2;3;3;2;4;3.8;3.4;3.8;4;4;3;2;4;3;4;3;3;2;3;3.4;3.4;3.67;3.67;3.67;2.33;3.67;2.33;3.67;3.67;1;3;4.04;1;0;1;1;3;1;1;1;1;1;1;1;4;4;3;4;4;4;3;2;2;2;2;3;3;3;1;1;1;2;Vrouw;20;Vwo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;3;2.12;0
25;2025;3;3;3;3;3;3;2;4.2;3;4.2;2;3;1;1;3;3;3;3;2;3;4;3.4;4.2;5;5;5;1;2.33;2.33;5;3.67;1;2.73;4.24;1.8;0;5;1;1;1;5;3;1;1;1;1;4;5;3;5;5;5;5;3;3;3;3;5;3;3;2;1;1;1;Vrouw;44;Mbo;Amsterdam;Business, Finance and Law (BFL);Deeltijd;5;3;3.88;0
26;2025;2;4;3;3;3;3;4;3.4;3.8;3.4;2;3;2;2;2;2;5;2;2;4;3;3.4;4.2;2.33;3.67;2.33;2.33;2.33;2.33;2.33;5;1;3.33;3.6;2.6;0;1;1;3;1;3;5;1;1;1;1;4;4;3;3;4;4;4;3;4;3;3;4;3;3;3;1;1;1;Vrouw;20;Havo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;3;3;1.96;0
27;2025;4;4;4;3;3;3;2;4.6;2.2;4.6;3;3;1;4;5;;;1;3;2;4;5;3.4;1;2.33;1;3.67;1;3.67;1;2.33;1;7.67;4.32;1;0;1;1;1;1;1;1;1;1;1;1;4;4;5;4;4;5;4;3;3;2;1;4;3;3;4;1;1;1;Man;19;Mbo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;5;4;1;0
28;2025;3;4;4;3;2;2;2;4.2;3.8;4.6;2;2;2;3;3;3;;3;2;3;3;4.2;3.8;1;2.33;1;3.67;1;3.67;1;2.33;1;1.67;4;1;0;1;1;1;1;1;3;1;1;1;1;4;4;3;4;4;3;4;4;4;4;4;4;4;5;4;4;3;3;Vrouw;47;Anders, namelijk (vul in):;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Duaal;5;;3;0
29;2025;3;4;4;4;2;3;2;3.4;3.4;3.8;2;2;2;2;;3;;3;1;2;4;3.8;4.6;2.33;5;1;3.67;2.33;3.67;2.33;3.67;1;4;3.88;1;0;3;1;1;1;1;1;1;1;1;1;3;4;3;3;4;4;4;5;5;3;4;5;4;5;4;1;1;3;Vrouw;19;Vwo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;5;5;1.32;0
30;2025;3;3;4;3;3;4;2;3.8;3;3.8;3;3;3;4;4;4;4;3;5;3;4;3.8;3.8;1;2.33;2.33;3.67;1;3.67;1;3.67;1;2.87;3.48;1.8;0;1;1;1;1;1;1;3;1;1;1;4;3;3;4;4;3;4;3;4;4;1;5;5;3;4;1;3;3;Man;24;Havo;Amsterdam;Business, Finance and Law (BFL);Voltijd;5;2;2.6;0
31;2025;3;3;3;2;2;2;4;3.4;2.2;3.4;;2;;;;2;2;3;;3;3;4.2;3.8;1;2.33;3.67;5;1;5;1;2.33;1;3.33;3.4;1;0;1;1;1;1;1;3;1;1;1;1;3;3;3;5;4;4;4;4;4;4;3;3;3;3;4;1;1;1;Vrouw;19;Vwo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;5;1.4;0
32;2025;3;4;4;4;4;4;4;4.2;4.2;3;4;4;3;3;4;4;3;4;4;4;3;3;3.8;3.67;3.67;2.33;2.33;5;2.33;3.67;3.67;1;3.67;3.8;1;0;1;3;1;1;1;3;3;1;1;3;4;4;3;4;4;3;4;3;3;3;4;4;3;3;3;5;4;1;Vrouw;18;Havo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;3;1.88;0
33;2025;3;3;3;3;3;3;3;3.8;3.8;3.4;4;4;3;3;4;4;4;4;4;4;4;3.4;4.2;1;2.33;2.33;3.67;2.33;3.67;2.33;1;1;2;3.44;3.4;1;3;1;1;1;5;1;1;1;1;1;5;5;1;5;3;4;4;4;4;4;4;4;4;4;3;2;2;1;Vrouw;21;Mbo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;3;5;4.2;0
34;2025;3;4;4;3;3;3;3;3.8;3.8;3.8;3;4;3;5;5;3;5;2;3;3;3;3.4;3.4;2.33;2.33;3.67;2.33;2.33;2.33;2.33;1;1;3.33;3.24;2.6;0;3;1;3;1;5;5;1;1;1;1;4;4;2;5;3;4;3;2;4;3;1;3;1;3;4;1;1;2;Vrouw;21;Anders, namelijk (vul in):;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;3;1.4;0
35;2025;2;4;3;3;2;2;2;4.2;4.2;3.8;2;3;1;4;4;1;4;1;3;1;3;3.4;4.2;2.33;2.33;2.33;2.33;1;2.33;2.33;2.33;1;2;2.96;1;1;3;1;1;1;5;1;1;1;1;1;5;5;3;5;5;5;3;5;4;3;3;4;2;3;3;1;1;2;Vrouw;23;Mbo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;5;2.2;0
36;2025;1;3;3;2;3;1;5;2.6;3;3.8;;;;2;3;3;4;4;2;2;3;2.2;3.8;1;3.67;2.33;1;2.33;1;1;5;1;3.13;3.2;1;0;1;1;1;1;5;3;1;1;1;1;2;5;4;5;3;2;1;1;1;2;1;2;3;3;1;1;2;1;Man;19;Havo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;5;2;1.96;0
37;2025;2;4;2;3;3;4;5;3.4;3.8;3;3;2;2;2;3;3;4;4;2;3;3;2.6;3.8;3.67;2.33;3.67;2.33;5;2.33;5;5;1;2.4;4;1.8;0;5;1;5;1;1;1;1;1;1;1;3;2;3;4;4;3;3;3;4;1;1;2;2;1;2;1;1;2;Anders;20;Havo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;3;1.4;0
38;2025;2;3;5;3;3;3;2;3.8;4.2;3.4;5;3;4;4;5;5;3;2;4;2;4;3.4;4.6;2.33;3.67;3.67;3.67;2.33;2.33;2.33;3.67;1;3.07;3.64;2.6;0;3;1;1;1;3;5;1;1;1;1;5;5;3;4;3;2;2;1;1;2;3;4;3;4;1;3;1;2;Vrouw;23;Anders, namelijk (vul in):;Amsterdam;Techniek, Ontwerpen en Informatica (TOI);Voltijd;5;4;3.4;0
39;2025;2;3;2;4;3;3;4;3;2.6;2.6;5;3;4;5;4;5;4;5;5;5;3;3;4.2;3.67;3.67;3.67;2.33;2.33;2.33;2.33;2.33;1;9;2.96;1.8;1;3;1;1;1;1;1;1;1;1;1;3;4;4;3;3;4;3;3;3;4;2;5;2;3;3;3;1;1;Vrouw;21;Mbo;Amsterdam;Business, Finance and Law (BFL);Voltijd;5;3;3.08;0
40;2025;2;3;3;3;2;3;4;3.4;2.6;3.4;4;2;3;3;4;3;2;2;4;1;4;3.8;3.4;2.33;2.33;3.67;3.67;2.33;3.67;1;2.33;1;3;3.84;1;0;1;1;1;1;3;3;1;1;1;1;2;4;3;3;3;4;3;3;3;4;2;4;3;3;1;1;1;1;Man;20;Havo;Amsterdam;Creative Business (CB);Voltijd;5;4;2.6;0
41;2025;4;4;4;2;3;1;1;4.2;2.6;4.6;1;2;1;2;2;2;1;3;3;1;4;4.2;3.4;2.33;1;2.33;5;1;5;1;2.33;1;6.33;4;1;0;3;1;1;1;3;3;1;1;1;1;4;5;2;4;5;5;4;4;4;3;4;5;4;5;4;4;3;3;Vrouw;56;Anders, namelijk (vul in):;Amsterdam;Onderwijs en Innovatie (ONI);Deeltijd;5;;3.4;0
42;2025;3;3;3;3;2;4;4;3.4;3;3;2;2;2;3;4;3;2;3;3;3;3;3;3.8;2.33;3.67;1;2.33;2.33;2.33;2.33;2.33;1;4;4;1;0;1;1;1;1;1;1;1;1;1;1;3;3;3;4;3;3;3;2;3;3;2;4;2;2;2;1;1;1;Vrouw;18;Havo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;3;2;1;0
43;2025;1;3;2;5;5;5;4;1.8;4.6;1.8;2;4;2;4;4;3;4;3;3;3;2;1.8;1.8;3.67;5;2.33;1;1;1;3.67;5;1;4;3.68;1.8;0;5;1;3;1;1;5;1;1;1;1;3;4;4;4;2;2;3;2;3;1;2;3;2;2;1;1;1;1;Vrouw;26;Havo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;5;2;1;0
44;2025;3;5;5;3;2;1;3;3.8;3.8;4.2;5;3;3;4;5;;;;3;5;4;4.6;3;2.33;2.33;2.33;3.67;2.33;3.67;2.33;2.33;1;7.67;4.16;1;0;1;1;1;1;1;1;1;1;1;1;4;5;5;5;5;4;4;3;4;4;4;5;3;4;4;1;1;1;Vrouw;21;Mbo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;5;5;1;0
45;2025;5;5;5;3;2;5;1;5;2.6;5;2;2;5;2;1;1;1;1;1;3;4;4.2;5;1;3.67;2.33;5;3.67;5;2.33;1;1;3.87;4.12;1;0;1;1;3;1;1;1;1;1;1;1;5;5;3;5;5;5;5;5;5;5;1;5;5;5;5;5;5;2;Vrouw;33;Anders, namelijk (vul in):;Amsterdam;Business, Finance and Law (BFL);Voltijd;5;;2.28;1
46;2025;2;3;3;3;3;3;3;3.8;2.6;3;4;4;5;4;5;4;3;3;3;4;3;4.2;4.2;2.33;2.33;3.67;5;1;3.67;1;3.67;1;3;3.2;1;1;1;3;1;1;1;1;1;1;1;1;2;4;5;3;4;4;2;2;3;3;3;3;3;2;1;1;1;1;Man;18;Havo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;3;3;1.96;0
47;2025;3;4;4;3;2;4;4;4.6;3.8;2.6;1;4;1;3;4;3;2;1;2;2;2;3.8;3.8;2.33;1;1;3.67;2.33;3.67;2.33;2.33;1;3;4;1;0;1;1;1;1;3;3;1;1;1;1;4;3;2;3;4;4;4;5;4;3;2;2;1;3;2;1;1;1;Man;25;Mbo;Alkmaar;Onderwijs en Innovatie (ONI);Deeltijd;5;3;2.92;0
48;2025;3;4;3;3;4;3;4;4.2;3.4;3.4;1;1;2;2;2;3;2;2;2;3;2;2.2;3.4;5;5;5;2.33;5;2.33;5;5;1;3.8;4;1;0;5;5;5;1;3;3;1;1;1;1;4;4;3;4;4;4;3;3;4;4;3;4;2;3;2;1;1;1;Vrouw;22;Havo;Alkmaar;Business, Finance and Law (BFL);Voltijd;5;1;1;0
49;2025;3;4;3;2;2;3;3;3.4;2.2;3.8;3;2;3;3;3;3;4;2;4;3;4;3.4;3.8;1;1;2.33;3.67;1;5;1;2.33;1;2.33;3.76;1;0;1;1;1;1;3;3;1;1;1;1;3;4;3;4;5;5;4;4;4;4;3;4;3;4;3;4;1;1;Vrouw;18;Havo;Alkmaar;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;3;1.56;0
50;2025;3;3;2;2;2;2;4;3.4;2.2;3;1;1;1;3;2;2;4;3;2;5;4;4.6;3.4;1;2.33;1;5;1;5;1;2.33;1;3.4;3.68;2.6;1;1;1;1;1;3;3;1;1;5;1;2;2;3;4;4;5;4;4;4;4;2;4;2;4;2;1;1;1;Man;19;Havo;Alkmaar;Business, Finance and Law (BFL);Voltijd;5;4;2.04;0
51;2025;1;3;2;3;3;4;5;2.2;2.6;2.2;2;1;2;2;3;2;5;2;2;4;5;3.8;3.4;1;2.33;1;3.67;1;3.67;1;3.67;1;3.53;3.24;1.8;0;3;1;1;1;1;3;1;1;1;1;3;3;3;5;3;4;4;2;4;4;2;3;3;4;3;1;1;1;Man;17;Havo;Alkmaar;Business, Finance and Law (BFL);Voltijd;5;5;1.4;0
52;2025;3;3;3;2;2;2;3;4.2;3.8;2.6;2;1;1;1;1;1;1;1;2;3;3;4.2;3.4;1;2.33;2.33;3.67;2.33;3.67;2.33;1;1;3.07;3.8;4.2;0;1;1;1;1;1;1;1;1;1;1;3;4;3;4;3;3;3;2;3;2;1;4;2;2;1;1;1;1;Man;17;Havo;Alkmaar;Business, Finance and Law (BFL);Voltijd;5;3;2.6;0
53;2025;2;3;3;4;4;4;4;3.8;2.6;3.4;2;3;2;4;4;5;4;2;5;4;4;4.2;3.8;2.33;3.67;2.33;3.67;1;3.67;1;2.33;1;3.2;3.48;1;1;5;1;1;1;1;3;1;1;1;1;4;4;2;4;3;3;4;2;4;4;2;5;3;3;2;1;3;5;Man;18;Havo;Alkmaar;Business, Finance and Law (BFL);Voltijd;3;3;1.8;0
54;2025;3;3;4;3;2;2;4;4.2;3;2.2;;1;1;1;2;2;1;1;2;3;3;3;5;2.33;3.67;5;2.33;2.33;2.33;2.33;3.67;1;3.87;3.92;1;0;1;1;1;1;1;3;1;3;5;1;4;5;2;4;3;3;3;3;2;4;2;4;2;3;1;1;1;1;Vrouw;22;Havo;Alkmaar;Business, Finance and Law (BFL);Voltijd;5;1;1;0
55;2025;3;5;4;2;3;3;5;3.8;2.2;3.4;1;3;2;5;5;5;1;5;3;4;4;4.2;3.8;1;2.33;1;3.67;1;5;1;2.33;1;2.33;3.92;1;0;5;1;1;1;1;3;1;1;1;1;3;4;2;4;5;5;4;5;5;5;5;5;5;5;5;1;2;1;Vrouw;19;Havo;Alkmaar;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;2;1.4;0
56;2025;3;4;3;3;3;3;3;4.2;3.8;3.8;3;3;2;3;4;4;3;3;3;2;4;4.2;4.2;2.33;2.33;2.33;3.67;1;3.67;2.33;2.33;1;3.73;3.76;1.8;0;1;1;1;1;1;5;1;1;1;1;4;3;1;5;4;4;4;3;4;4;4;5;3;4;3;2;1;3;Vrouw;18;Havo;Alkmaar;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;4;3;0
57;2025;2;4;3;3;2;5;4;3.8;4.2;3;4;3;3;5;5;5;3;5;4;5;4;3.8;3.4;2.33;3.67;2.33;3.67;2.33;3.67;2.33;2.33;1;3.73;3.8;1;0;3;1;1;1;3;3;3;3;3;3;5;2;1;4;4;4;3;4;3;4;4;3;3;4;4;2;1;1;Vrouw;18;Havo;Alkmaar;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;1;3.16;0
58;2025;3;3;3;4;3;3;2;3.4;4.2;3.4;4;3;3;3;4;5;3;3;3;2;3;3.4;4.2;2.33;3.67;5;2.33;2.33;3.67;2.33;2.33;1;3.73;3.76;1;1;1;3;3;1;3;5;1;1;1;1;4;4;2;4;3;3;4;3;3;4;3;4;4;3;3;3;1;2;Vrouw;18;Havo;Alkmaar;Gezondheid, Sport en Welzijn (GSW);Voltijd;3;2;1.96;0
59;2025;3;3;4;3;2;3;3;4.2;3.8;3.4;2;2;1;3;3;3;4;2;2;2;3;3.4;4.2;1;2.33;2.33;3.67;1;3.67;1;2.33;1;3.27;4;1;0;1;1;1;1;1;1;1;1;1;1;4;5;2;4;3;5;5;5;5;5;3;3;4;4;3;2;1;1;Man;22;Mbo;Alkmaar;Techniek, Ontwerpen en Informatica (TOI);Voltijd;5;2;1.64;0
60;2025;3;3;3;3;3;3;3;4.2;3.4;3.4;3;5;5;4;5;4;3;3;3;5;5;2.6;3.8;2.33;3.67;1;3.67;2.33;3.67;2.33;2.33;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;2;4;3;4;3;3;4;4;5;4;4;4;3;3;5;3;1;2;Man;19;Mbo;Alkmaar;Business, Finance and Law (BFL);Voltijd;5;4;3;0
61;2025;3;5;5;3;4;3;2;5;1;4.6;1;1;1;1;1;1;1;1;1;1;4;4.2;3.8;1;2.33;1;3.67;1;3.67;1;1;1;2.87;4.08;1;0;1;1;1;1;1;3;1;1;1;1;5;3;2;4;5;5;4;4;2;3;1;4;1;1;2;3;1;1;Man;17;Havo;Alkmaar;Techniek, Ontwerpen en Informatica (TOI);Voltijd;5;2;1;0
